current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/10_0 copy.jpg,0,37,0,0,0,0,37,37,37,165.9497040730057,,,,,,,,,,,,,,,,,,165.94285332100117,166.85598493100406,None,166.85619858100108,,,,,166.85624250600085,None,,,166.85636862500542,166.85641034000582,165.9497040730057,166.13779722600157,166.13779722600157,166.8644991350011,166.8644991350011,166.8644991350011,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair09 copy.jpg,0,38,0,0,0,0,38,38,38,166.8644991350011,,,,,,,,,,,,,,,,,,166.85670904900326,167.77412591400207,None,167.77430521700444,,,,,167.7743396540027,None,,,167.7744391600063,167.7744716790039,166.8644991350011,167.06953607300238,167.06953607300238,167.78399694700056,167.78399694700056,167.78399694700056,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/18_12 copy 3.jpg,0,39,0,0,0,0,39,39,39,167.78399694700056,,,,,,,,,,,,,,,,,,167.77470945600362,168.68906536300346,None,168.68917290600075,,,,,168.68919586500124,None,,,168.68926326200017,168.68928532300197,167.78399694700056,168.00774415900378,168.00774415900378,168.6944409350035,168.6944409350035,168.6944409350035,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,40,1,0,0,0,40,40,40,168.6944409350035,,,,,,,,,,,,,,,,,,168.6894482120042,168.69095096800447,None,168.6910343060008,168.6944409350035,168.6944409350035,169.43591299700347,169.43591299700347,169.42967393400613,None,,,169.42982334800035,169.42985127700376,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/15_40 copy.jpg,0,41,0,0,0,0,41,41,41,169.43591299700347,,,,,,,,,,,,,,,,,,169.4300365950039,170.2577979320049,None,170.2580120010025,,,,,170.25805760600633,None,,,170.25820169600047,170.25824360700062,169.43591299700347,169.61940385100024,169.61940385100024,170.26627463700424,170.26627463700424,170.26627463700424,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/17_40 copy 5.jpg,0,42,0,0,0,0,42,42,42,170.26627463700424,,,,,,,,,,,,,,,,,,170.25855898100417,171.21852188200137,None,171.21867744000338,,,,,171.21871083600126,None,,,171.2188105200039,171.21884348800086,170.26627463700424,170.48614857800567,170.48614857800567,171.2259511230004,171.2259511230004,171.2259511230004,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/13_28 copy 7.jpg,0,43,0,0,0,0,43,43,43,171.2259511230004,,,,,,,,,,,,,,,,,,171.21907998200186,172.11545987700083,None,172.11555735000002,,,,,172.11557655500656,None,,,172.11563423100597,172.1156535820046,171.2259511230004,171.44995521500095,171.44995521500095,172.12282889000198,172.12282889000198,172.12282889000198,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair11 copy 4.jpg,0,44,0,0,0,0,44,44,44,172.12282889000198,,,,,,,,,,,,,,,,,,172.1157929270048,172.92417895000108,None,172.92431116600346,,,,,172.92433502300264,None,,,172.92440818100295,172.92443170900515,172.12282889000198,172.31063976000587,172.31063976000587,172.9311129120033,172.9311129120033,172.9311129120033,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/14_28 copy 4.jpg,0,45,0,0,0,0,45,45,45,172.9311129120033,,,,,,,,,,,,,,,,,,172.92460321200633,173.747840379001,None,173.74795053100388,,,,,173.74797393500194,None,,,173.74804253200273,173.74806484900182,172.9311129120033,173.1234946590048,173.1234946590048,173.75369725800556,173.75369725800556,173.75369725800556,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/23_28 copy 6.jpg,0,46,0,0,0,0,46,46,46,173.75369725800556,,,,,,,,,,,,,,,,,,173.74822779100214,174.5731870200034,None,174.57329410700186,,,,,174.57331686399993,None,,,174.573385143005,174.57340799600206,173.75369725800556,173.94163832300546,173.94163832300546,174.58053849100543,174.58053849100543,174.58053849100543,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/19_28 copy 5.jpg,0,47,0,0,0,0,47,47,47,174.58053849100543,,,,,,,,,,,,,,,,,,174.5735707480053,175.41800162200525,None,175.41811190800217,,,,,175.4181347430058,None,,,175.41820401100267,175.41822653900454,174.58053849100543,174.77034615600132,174.77034615600132,175.42559308199998,175.42559308199998,175.42559308199998,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair04.jpg,0,48,0,0,0,0,48,48,48,175.42559308199998,,,,,,,,,,,,,,,,,,175.41838909200305,176.22318555000675,None,176.22329769399948,,,,,176.2233210570048,None,,,176.22339071200258,176.22341344400047,175.42559308199998,175.61362111100607,175.61362111100607,176.2294085329995,176.2294085329995,176.2294085329995,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair18 copy 4.jpg,0,49,0,0,0,0,49,49,49,176.2294085329995,,,,,,,,,,,,,,,,,,176.2235795710003,177.05957352500263,None,177.0597315039995,,,,,177.05976522900164,None,,,177.0598630060049,177.0598950420026,176.2294085329995,176.4143641240007,176.4143641240007,177.0667356930062,177.0667356930062,177.0667356930062,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,50,1,0,0,0,50,50,50,177.0667356930062,,,,,,,,,,,,,,,,,,177.06012572100008,177.06250796600216,None,177.0626082440067,177.0667356930062,177.0667356930062,177.83840500500082,177.83840500500082,177.8317091880017,a,0.6382502369961003,None,177.83193676600058,177.8319627880046,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/13_0 copy 3.jpg,0,51,0,0,0,0,51,51,51,177.83840500500082,,,,,,,,,,,,,,,,,,177.8321269310036,178.659232308004,None,178.6593522740004,,,,,178.6593773220011,None,,,178.6594509130009,178.65947528200195,177.83840500500082,178.03444335400127,178.03444335400127,178.6658218260054,178.6658218260054,178.6658218260054,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
