current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/17_12 copy 3.jpg,0,31,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,31,31,31,4.522571212000912,,,,,,,,,,,1.423810924985446,1.4239142019941937,1.4239206979982555,1.4263335579889826,None,1.4264148529910017,1.4264419320097659,None,1.4265094439906534,1.4265331770002376,None,1.4265968989930116,1.426619664998725,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/16_28 copy 6.jpg,0,32,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,32,32,32,4.522571212000912,,,,,,,,,,,1.42682357999729,1.426944328006357,1.4269509910081979,1.4293626470025629,None,1.429462172993226,1.4294937920058146,None,1.4295719740039203,1.4296000869944692,None,1.4296729550114833,1.4296992550080176,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/24_40 copy 7.jpg,0,33,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,33,33,33,4.522571212000912,,,,,,,,,,,1.4299364059988875,1.4300802189973183,1.4300871739978902,1.4319456689991057,None,1.4320281010004692,1.4320541950000916,None,1.4321214229858015,1.432145380997099,None,1.4322086120082531,1.4322311040014029,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair10.jpg,0,34,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,34,34,34,4.522571212000912,,,,,,,,,,,1.4324338730075397,1.4325447180017363,1.4325516099925153,1.4358745949866716,None,1.4359568909858353,1.4359832459886093,None,1.4360510440019425,1.4360747459868435,None,1.436138563993154,1.4361612469947431,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/9_12 copy 2.jpg,0,35,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,35,35,35,4.522571212000912,,,,,,,,,,,1.43636196499574,1.4364744900085498,1.4364812900021207,1.4396880749845877,None,1.4397700779954903,1.439796499995282,None,1.4398636000114493,1.4398871650046203,None,1.439950038009556,1.4399729819851927,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/13_40 copy.jpg,0,36,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,36,36,36,4.522571212000912,,,,,,,,,,,1.4401749899843708,1.4402862929855473,1.4402930210053455,1.4430544200004078,None,1.443136735004373,1.4431635510118213,None,1.4432305980008096,1.443254429002991,None,1.4433171160053462,1.4433396559907123,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair01.jpg,0,37,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,37,37,37,4.522571212000912,,,,,,,,,,,1.4435400489892345,1.4436424440064002,1.443649118009489,1.4474169760069344,None,1.4474989479931537,1.4475254360004328,None,1.4475935210066382,1.4476173800067045,None,1.4476809760089964,1.4477039529883768,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/14_40 copy 7.jpg,0,38,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,38,38,38,4.522571212000912,,,,,,,,,,,1.4479071520036086,1.4480180339887738,1.4480250180058647,1.4505528179870453,None,1.4506357939972077,1.4506627790105995,None,1.4507310999906622,1.4507563959923573,None,1.4508206770115066,1.4508434619929176,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,39,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,39,39,39,4.522571212000912,,,,,,,,,,,1.4510460110032,1.4511573899944779,1.451164330006577,1.4530414720065892,None,1.4531233810121194,1.453149545006454,None,1.453215615998488,1.4532388169900514,None,1.4533016679924913,1.4533239899901673,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/pair15 copy 7.jpg,0,40,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,40,40,40,4.522571212000912,,,,,,,,,,,1.4535447089874651,1.4536450959858485,1.4536518359964248,1.4575319279974792,None,1.4576148400083184,1.4576408530119807,None,1.4577096849970985,1.4577342240081634,None,1.4577980310132261,1.4578206099977251,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_0 copy.jpg,0,41,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,41,41,41,4.522571212000912,,,,,,,,,,,1.4580222019867506,1.4581315830000676,1.4581385230121668,1.4611955280124675,None,1.4612780039897189,1.461304383003153,None,1.4613714019942563,1.4613950150087476,None,1.4614584220107645,1.46148153100512,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
