current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_4.started,text_4.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,67.29176863201428,,,,,,,,,,,67.28602014502394,67.29176863201428,67.47469266501139,67.47469266501139,68.20640225202078,68.20640225202078,68.20640225202078,68.19747999100946,None,68.19765883800574,,,,,68.19770111900289,None,68.19782103502075,,,68.197861845023,None,,,68.19797353501781,68.19800885900622,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/16_0 copy 7.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,30,30,30,68.20640225202078,,,,,,,,,,,68.19840046099853,,,,,,,68.20237717000418,None,68.20249410602264,68.20640225202078,68.20640225202078,68.96664653799962,68.96664653799962,68.95902035501786,None,68.95916335302172,,,68.95919981901534,None,,,68.95930175701506,68.95933135400992,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/19_0 copy 2.jpg,0,31,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,31,31,31,68.96664653799962,,,,,,,,,,,68.95963863900397,68.96664653799962,69.1462232299964,69.1462232299964,69.89245331200073,69.89245331200073,69.89245331200073,69.8848950190004,None,69.88504599401494,,,,,69.88507985099568,None,69.88517773599597,,,69.8852103940153,None,,,69.8853013960179,69.88532915801625,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/13_28 copy 7.jpg,0,32,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,32,32,32,69.89245331200073,,,,,,,,,,,69.88563075801358,69.89245331200073,70.07576603701455,70.07576603701455,70.77462084000581,70.77462084000581,70.77462084000581,70.76781334000407,None,70.76796175699565,,,,,70.76799426900106,None,70.7680906500027,,,70.76812290001544,None,,,70.76821349101374,70.76824135301285,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/14_12.jpg,0,33,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,33,33,33,70.77462084000581,,,,,,,,,,,70.76854008302325,70.77462084000581,70.9573246500222,70.9573246500222,71.66515455199988,71.66515455199988,71.66515455199988,71.65816764501506,None,71.6582747049979,,,,,71.6582947820134,None,71.6583552910015,,,71.65837615600321,None,,,71.65843010900426,71.65844685200136,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/23_28 copy.jpg,0,34,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,34,34,34,71.66515455199988,,,,,,,,,,,71.65863751701545,71.66515455199988,71.85625323001295,71.85625323001295,72.54227311001159,72.54227311001159,72.54227311001159,72.53420841600746,None,72.53436280501774,,,,,72.53439513902413,None,72.53449538300629,,,72.53452952500083,None,,,72.53462225201656,72.53465125799994,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/6_12 copy 4.jpg,0,35,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,35,35,35,72.54227311001159,,,,,,,,,,,72.5349555349967,72.54227311001159,72.72304937301669,72.72304937301669,73.47604774901993,73.47604774901993,73.47604774901993,73.4679597740178,None,73.46813925501192,,,,,73.468179522024,None,73.46829774801154,,,73.46833706300822,None,,,73.46844712202437,73.46848117001355,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_0 copy 4.jpg,0,36,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,36,36,36,73.47604774901993,,,,,,,,,,,73.46884422001312,73.47604774901993,73.66258130900678,73.66258130900678,74.34668007001164,74.34668007001164,74.34668007001164,74.33926622700528,None,74.33940410200739,,,,,74.33943196100881,None,74.3395140299981,,,74.33954159001587,None,,,74.33961717999773,74.3396407260152,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/19_40 copy.jpg,0,37,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,37,37,37,74.34668007001164,,,,,,,,,,,74.33989295302308,74.34668007001164,74.52706700601266,74.52706700601266,75.22638465100317,75.22638465100317,75.22638465100317,75.21921952301636,None,75.21939685501275,,,,,75.21943633799674,None,75.21955528500257,,,75.21959408101975,None,,,75.2197041970212,75.21973780699773,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/23_12 copy 3.jpg,0,38,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,38,38,38,75.22638465100317,,,,,,,,,,,75.22009778500069,75.22638465100317,75.40994316601427,75.40994316601427,76.12591235199943,76.12591235199943,76.12591235199943,76.11930503501208,None,76.11948294300237,,,,,76.11952249900787,None,76.11964072301635,,,76.11968016100582,None,,,76.11978976402315,76.11982340100803,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
