current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/9_0 copy 7.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,30,30,30,5.94055036699865,,,,,,,,,,,3.367333552974742,3.3674253139761277,3.367431027989369,3.3691042459977325,None,3.369239799998468,3.3692611219885293,None,3.36931765297777,3.369337428972358,None,3.369390061998274,3.3694635849969927,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/17_12 copy 3.jpg,0,31,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,31,31,31,5.94055036699865,,,,,,,,,,,3.369846415997017,3.3700773959863,3.370107010996435,3.371744180971291,None,3.371812442986993,3.371833835990401,None,3.371889279980678,3.371908844972495,None,3.3719611049746163,3.371979580988409,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/16_28 copy 6.jpg,0,32,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,32,32,32,5.94055036699865,,,,,,,,,,,3.3721454789920244,3.372257137991255,3.3722627719980665,3.3738526869856287,None,3.373918954981491,3.3739394529839046,None,3.3739944429835305,3.374013685999671,None,3.374065490992507,3.3740837249788456,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/24_40 copy 7.jpg,0,33,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,33,33,33,5.94055036699865,,,,,,,,,,,3.3742497339844704,3.3743319149944,3.3743375149788335,3.3759127489756793,None,3.3759819899860304,3.3760033039725386,None,3.3760589089943096,3.376078991976101,None,3.37613126198994,3.3761496219958644,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair10.jpg,0,34,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,34,34,34,5.94055036699865,,,,,,,,,,,3.376317738991929,3.376401562971296,3.376407161995303,3.3793096159934066,None,3.379380839993246,3.3794020309869666,None,3.3794588149758056,3.379478612972889,None,3.3795314079907257,3.3795501539716497,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/9_12 copy 2.jpg,0,35,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,35,35,35,5.94055036699865,,,,,,,,,,,3.37971912897774,3.3798037989763543,3.3798095469828695,3.3818447689991444,None,3.38191366798128,3.381934798992006,None,3.381990980997216,3.3820107269857544,None,3.382062707998557,3.382081046991516,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/13_40 copy.jpg,0,36,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,36,36,36,5.94055036699865,,,,,,,,,,,3.3822494829946663,3.382334418973187,3.3823400949768256,3.3840669089986477,None,3.3841356959892437,3.384156477986835,None,3.3842122069909237,3.3842315759975463,None,3.3842847399937455,3.3843032619915903,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair01.jpg,0,37,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,37,37,37,5.94055036699865,,,,,,,,,,,3.3844715009909123,3.384555021999404,3.384560785983922,3.387307457975112,None,3.3873776019900106,3.387398125982145,None,3.38745244697202,3.387471841997467,None,3.38752269098768,3.3875410489854403,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/14_40 copy 7.jpg,0,38,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,38,38,38,5.94055036699865,,,,,,,,,,,3.387708524998743,3.387792202993296,3.387797713978216,3.389798345975578,None,3.3898647189780604,3.3898851509729866,None,3.3899396089836955,3.3899601379816886,None,3.3900118449819274,3.390029924979899,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/blank.jpg,0,39,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,39,39,39,5.94055036699865,,,,,,,,,,,3.390192701976048,3.390274936973583,3.390280505991541,3.391818929987494,None,3.3918880019919015,3.3919093669974245,None,3.391965092974715,3.3919849439989775,None,3.3920372869761195,3.392055955977412,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair15 copy 7.jpg,0,40,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,40,40,40,5.94055036699865,,,,,,,,,,,3.392223925999133,3.3923074469785206,3.3923130889888853,3.3950960229849443,None,3.3951674139825627,3.3951885659771506,None,3.3952435510000214,3.395263164973585,None,3.3953158269869164,3.3953341339947656,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/15_0 copy.jpg,0,41,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,41,41,41,5.94055036699865,,,,,,,,,,,3.395500660990365,3.395585639984347,3.3955912469828036,3.3976076239778195,None,3.397678052977426,3.3976992599782534,None,3.3977553119766526,3.397775917983381,None,3.397828489978565,3.3978474239993375,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/21_40.jpg,0,42,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,42,42,42,5.94055036699865,,,,,,,,,,,3.398015797982225,3.3981004179804586,3.398106091975933,3.399873651971575,None,3.399942776974058,3.3999636019871105,None,3.4000195429835003,3.400039255997399,None,3.400092154974118,3.4001106869836804,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/21_28 copy 7.jpg,0,43,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,43,43,43,5.94055036699865,,,,,,,,,,,3.400280710979132,3.4003647809731774,3.400370495975949,3.4023169909778517,None,3.402385614986997,3.4024065309786238,None,3.402462022990221,3.402482068981044,None,3.4025341069791466,3.4025524249882437,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/pair18 copy 2.jpg,0,44,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,44,44,44,5.94055036699865,,,,,,,,,,,3.402718716999516,3.4028033389768098,3.402808794984594,3.405155388987623,None,3.405224111978896,3.405244852998294,None,3.405299677979201,3.4053199039772153,None,3.4053717739880085,3.4053902349842247,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/20_28 copy 4.jpg,0,45,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,45,45,45,5.94055036699865,,,,,,,,,,,3.40555613298784,3.405640480981674,3.4056459939747583,3.407651792978868,None,3.407719731971156,3.407740989990998,None,3.407796260988107,3.407815894985106,None,3.4078674559714273,3.4078856089909095,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/6_40 copy 4.jpg,0,46,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,46,46,46,5.94055036699865,,,,,,,,,,,3.408049655990908,3.408142031985335,3.4081477229774464,3.4100427759985905,None,3.410140984982718,3.4102047869819216,None,3.4102795419748873,3.41029931398225,None,3.410350584978005,3.4103687559836544,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/10_28 copy 4.jpg,0,47,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,47,47,47,5.94055036699865,,,,,,,,,,,3.410534449998522,3.4106195619970094,3.410625206975965,3.4122256549890153,None,3.41229434197885,3.4123156409768853,None,3.412371764978161,3.4123915859963745,None,3.412444316985784,3.4124630029837135,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
